"","SubmissionDate","starttime","endtime","enum","note_1","note_2","intro","consent_text","consent","note_3","resp_status","resp_interviewed","date_time","id_c","id_2_c","district_calc","id","id_2","district","sex_q2_1","day_q2_2","age_q2_3_c","age_q2_3","rel_q2_4","q2_4_oth","status_q2_5","q2_5_oth","lc1_naba_vht_q2_11","q2_12err","educ_q2_21","read_q2_22","read_q2_22b","lang_q2_23","q2_23_oth","other_lang_q2_24","q2_24err","q2_24_oth","activity_q3_1","q3_1_oth","frequency_discussion_q3_1","convers_q3_3","q3_3err","granchildren_q3_4","granchildren_boys_q3_5","food_q4_2","news_q4_1","watchTV_q4_1","mobile_q4_2","randomdraw1","random_order","note_q5_1","doctor_q5_1a","teacher_q5_1a","principal_q5_1a","official_q5_1a","judge_q5_1a","police_q5_1a","clergy_q5_1a","note_q5_1_b","doctor_q5_1b","teacher_q5_1b","police_q5_1b","clergy_q5_1b","principal_q5_1b","official_q5_1b","judge_q5_1b","note_q5_1_c","police_q5_1c","clergy_q5_1c","principal_q5_1c","official_q5_1c","judge_q5_1c","doctor_q5_1c","teacher_q5_1c","note_q5_1_d","police_q5_1d","clergy_q5_1d","doctor_q5_1d","teacher_q5_1d","principal_q5_1d","official_q5_1d","judge_q5_1d","note_q5_1_e","principal_q5_1e","official_q5_1e","judge_q5_1e","doctor_q5_1e","teacher_q5_1e","police_q5_1e","clergy_q5_1e","note_q5_1_f","principal_q5_1f","official_q5_1f","judge_q5_1f","police_q5_1f","clergy_q5_1f","doctor_q5_1f","teacher_q5_1f","goals_q6_2","q6_2err","note7_1","boys_school_q7_1","able_marry_q7_2","final_say_q7_3","child_rearing_q7_4","note8","note8_1","randomdraw2","action_q8_1a_1","action_q8_1b_1","action_q8_1b_2_1","action_q8_1c_1","action_q8_1d_1","action_q8_1d_2_1","action_q8_1a_2","action_q8_1b_2","action_q8_1b_2_2","action_q8_1c_2","action_q8_1d_2","action_q8_1d_2_2","action_q8_1a_3","action_q8_1b_3","action_q8_1b_2_3","action_q8_1c_3","action_q8_1d_3","action_q8_1d_2_3","action_q8_1a_4","action_q8_1b_4","action_q8_1b_2_4","action_q8_1c_4","action_q8_1d_4","action_q8_1d_2_4","note8_2","disobeys_q8_1a","disobeys_yes","disobeys_no","randomdraw3","chat_q8_1b","fin_pressure_q8_1c","no_housework_q8_1e","note8_3","disobeys_community_q8_2","housework_comm_q8_4","chat_community_q8_5","fin_press_comm_q8_6","react_q8_7","intervene_q8_9","spiral_risk_q8_7","note8_8","empathy_pair_q8_8","empathy_husband_q8_9","free_riding_ran","free_riding","free_riding_lug","free.riding_q8_10","free.riding_q8_10_oth","free.riding_q8_10_no","free.riding_q8_10_2","free.riding_q8_10_2no","revenge_q8_11","note8_12","forum_ran","forum","R_gender","R_not_gender","R_gender_lug","R_not_gender_lug","reporting_exp_q8_12","reporting_intro","reporting_intro_2","reporting_cost1_q8_13a","reporting_cost2_q8_13b","reporting_cost3_q8_13c","intervention_q9_1","interv_consequence_q9_2","randomdraw6","tribe_q2_25","q2_25_oth","tribe1","religion_q14_1","q14_1_oth","religion_times_q14_2","note16_1","note16_1_2","beaten_comm_q16_1","woman_beaten_q16_1b","report_q16_1c","q16_1err","report_q16_1c_oth","note_17","beating_freq_q17_2","beating_yes_q17_2b","beating_no_q17_2b","note_17_2","hh_violence_yesno_q17_2","incidents_q17_2b","hh_violence_freq_q17_3","hh_violence_yes_q17_3b","hh_violence_no_q17_3b","ipv_efficacy_q17_4","films_q17_1","other_attend_q17_2","content_q17_1b","q19_3err","content_q17_1b_oth","hear_q19_4","q19_4err","hear_q19_4_oth","note_19","q19_1","organizers_q18_1","followup_fest_q18_2","attendance_q18_3","cooperative_q20_1","person_q18_1","relationship_person_q18_2","q18_2_oth","q18_2berr","note18","note20","observe_conditions_q18_4","note20_2","survey_language","survey_language_oth","woman_kneeling","comments","instanceID","formdef_version","KEY","tc_id"
"1","May 20, 2017 6:14:19 PM","May 20, 2017 10:20:49 AM","May 20, 2017 11:50:10 AM",19,NA,NA,NA,NA,1,NA,2,2,"May 20, 2017 10:25:00 AM",NA,NA,NA,"t41337061","t41337061",4,2,2,NA,47,2,NA,1,NA,"11",NA,5,2,NA,2,NA,"37",NA,NA,1,NA,2,"1 2 4 10",NA,4,3,"Rice",3,6,4,0.564312913312032,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 4 9",NA,NA,1,2,2,1,NA,NA,0.733448449551729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0.0658923194976923,1,NA,NA,NA,1,NA,1,NA,2,2,2,NA,1,2,0.545830406573375,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,1,NA,0.826514546092123,"Police","woman","Man","omukazi","omusajja",1,NA,NA,2,2,2,1,2,0.597896423614824,24,NA,"Munyoro",2,NA,0,NA,NA,10,2,"1 2 3",NA,NA,NA,NA,NA,NA,NA,1,0,2,NA,3,2,7,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA,1,NA,1,"No","uuid:4b161df9-7296-4a7f-b645-4534b35bc633",1705192037,"uuid:4b161df9-7296-4a7f-b645-4534b35bc633",81
"2","May 20, 2017 6:14:29 PM","May 20, 2017 12:51:21 PM","May 20, 2017 2:35:53 PM",19,NA,NA,NA,NA,1,NA,2,2,"May 20, 2017 12:53:00 PM",NA,NA,NA,"t41337041","t41337041",4,2,1,NA,40,1,NA,6,NA,"1 3",NA,2,3,NA,2,NA,"37",NA,NA,1,NA,3,"1 10",NA,4,5,"Rice  ",4,6,3,0.652265345387177,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 4 7",NA,NA,2,1,1,1,NA,NA,0.390517361707484,NA,NA,NA,NA,NA,NA,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0.125777471331789,2,NA,NA,NA,1,NA,1,NA,1,1,2,NA,1,2,0.60690686126981,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,1,NA,0.647538960415041,"Nabakyala","woman","Man","omukazi","omusajja",2,NA,NA,1,1,1,1,2,0.829581283087359,1,NA,"Muganda",2,NA,1,NA,NA,5,2,"1 2 3",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,7,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2,NA,1,NA,1,"No","uuid:135a8f7b-757e-4551-af5c-dce49018d400",1705192037,"uuid:135a8f7b-757e-4551-af5c-dce49018d400",81
"3","May 20, 2017 6:15:41 PM","May 20, 2017 10:45:51 AM","May 20, 2017 6:09:25 PM",14,NA,NA,NA,NA,1,NA,2,2,"May 20, 2017 10:54:00 AM",NA,NA,NA,"t41337071","t41337071",4,1,1,NA,60,1,NA,1,NA,"11",NA,4,2,NA,2,NA,"3 31",NA,NA,1,NA,3,"10",NA,4,5,"Matooke",4,6,4,0.14472558581412,1,NA,1,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 3 9",NA,NA,1,2,1,1,NA,NA,0.556520793573442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.0640821753454996,1,NA,NA,NA,1,NA,1,NA,1,1,1,NA,1,1,0.358184844489416,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,1,NA,0.387255126704218,"Nabakyala","man","Woman","omusajja","omukazi",1,NA,NA,1,1,1,1,2,0.707740982016515,1,NA,"Muganda",3,NA,1,NA,NA,10,3,"3",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,6,NA,1,NA,1,"Gps failed","uuid:3d67377d-d328-4ba2-9868-b0344944b133",1705192037,"uuid:3d67377d-d328-4ba2-9868-b0344944b133",81
"4","May 20, 2017 6:15:53 PM","May 20, 2017 12:20:10 PM","May 20, 2017 6:13:29 PM",14,NA,NA,NA,NA,1,NA,1,1,"May 20, 2017 12:27:00 PM",41337321,41337321,NA,NA,NA,NA,1,1,32,NA,NA,NA,1,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"5 10",NA,3,3,"Sweet potato and matooke",5,2,5,0.645525320298198,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 7 9",NA,NA,1,2,2,1,NA,NA,0.479621549481091,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.993955676139322,NA,NA,2,NA,2,2,NA,NA,1,1,1,NA,1,1,0.917567725887604,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,1,NA,0.788164719017064,"Police","man","Woman","omusajja","omukazi",1,NA,NA,1,1,2,2,2,0.722808695531413,1,NA,"Muganda",NA,NA,NA,NA,NA,3,1,"2",NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,6,NA,1,NA,4,"The name and the trading centre of the complier respondent were not pulled!!","uuid:9547797f-fc37-43fb-841d-761cd1ab23bf",1705192037,"uuid:9547797f-fc37-43fb-841d-761cd1ab23bf",NA
"5","May 20, 2017 6:16:03 PM","May 20, 2017 1:41:47 PM","May 20, 2017 2:40:23 PM",14,NA,NA,NA,NA,1,NA,1,1,"May 20, 2017 1:49:00 PM",41337451,41337451,NA,NA,NA,NA,1,1,25,NA,NA,NA,7,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,1,"5 1",NA,4,5,"Sweet potatoes",5,2,5,0.80088793844132,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"1 3 7",NA,NA,2,1,1,1,NA,NA,0.174581236183819,1,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0.713830258970711,NA,NA,2,NA,2,2,NA,NA,1,1,1,NA,1,2,0.0716262181736848,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,1,NA,0.193337756084831,"LC1","man","Woman","omusajja","omukazi",1,NA,NA,1,1,2,1,1,0.624816182465469,1,NA,"Muganda",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,6,NA,1,NA,4,"The respondent name and the trading centre name were not pulled in the survey","uuid:81626612-e2a2-473a-b405-0301b814d1d2",1705192037,"uuid:81626612-e2a2-473a-b405-0301b814d1d2",NA
"6","May 21, 2017 11:46:00 AM","May 20, 2017 12:45:23 PM","May 20, 2017 1:37:19 PM",9,NA,NA,NA,NA,1,NA,1,1,"May 20, 2017 12:45:00 PM",41601311,41601311,"Mubende",NA,NA,NA,2,1,33,NA,NA,NA,1,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"Grazing",3,"10",NA,4,3,"Rice",4,2,5,0.591039607699797,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 4 7",NA,NA,2,1,1,1,NA,NA,0.457118551007579,NA,NA,NA,NA,NA,NA,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.963561820626363,NA,NA,2,NA,2,1,NA,NA,2,2,1,NA,1,2,0.930867213176382,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",2,NA,"Its not my business",NA,NA,1,NA,0.459726402982645,"Nabakyala","woman","Man","omukazi","omusajja",2,NA,NA,1,1,1,2,2,0.46117685991648,21,NA,"Munyankole",NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,4,NA,2,NA,2,"Completed","uuid:cbe0c11c-4095-44e3-afe9-b4979ef213df",1705192037,"uuid:cbe0c11c-4095-44e3-afe9-b4979ef213df",93
"7","May 21, 2017 12:32:02 PM","May 20, 2017 10:37:33 AM","May 20, 2017 11:35:07 AM",24,NA,NA,NA,NA,1,NA,1,1,"May 20, 2017 10:42:00 AM",41337151,41337151,"Mubende",NA,NA,NA,2,3,38,NA,NA,NA,1,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,"3 10",NA,3,3,"Matooke",1,6,2,0.619303639787333,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 5 9",NA,NA,2,2,2,2,NA,NA,0.657109067640936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.496212326739398,NA,2,NA,NA,2,NA,NA,2,1,1,1,NA,2,1,0.542242606832804,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,1,NA,0.74563379506155,"Police","woman","Man","omukazi","omusajja",2,NA,NA,1,1,2,1,1,0.460817037258989,1,NA,"Muganda",NA,NA,NA,NA,NA,2,1,"3",NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Mr okiima",1,3,1,2,NA,NA,NA,NA,NA,4,NA,1,NA,1,"She was so cooperative","uuid:528b6fb7-6b68-4af9-8db6-4eb28b49cb33",1705192037,"uuid:528b6fb7-6b68-4af9-8db6-4eb28b49cb33",81
"8","May 21, 2017 12:32:03 PM","May 20, 2017 12:39:29 PM","May 20, 2017 1:33:41 PM",24,NA,NA,NA,NA,1,NA,2,2,"May 20, 2017 12:43:00 PM",NA,NA,NA,"t41337021","t41337021",4,2,1,NA,30,2,NA,1,NA,"11",NA,6,2,NA,2,NA,"2",NA,NA,1,NA,1,"10",NA,2,5,"Matooke",5,6,4,0.112516557421802,1,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 3 7",NA,NA,2,1,1,1,NA,NA,0.999356947183256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,NA,NA,2,NA,2,0.884636185751189,NA,NA,2,NA,2,2,NA,NA,1,1,1,NA,1,1,0.21027841790651,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,2,NA,0.27158634798107,"LC1","woman","Man","omukazi","omusajja",1,NA,NA,1,1,1,2,1,0.582774264468786,1,NA,"Muganda",3,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,7,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,4,NA,1,NA,1,"Respondent was active ","uuid:aaef2fe7-d1dc-4f50-bae3-04a3d193734d",1705192037,"uuid:aaef2fe7-d1dc-4f50-bae3-04a3d193734d",81
"9","May 21, 2017 12:32:04 PM","May 20, 2017 1:44:15 PM","May 20, 2017 2:47:54 PM",24,NA,NA,NA,NA,1,NA,1,1,"May 20, 2017 1:47:00 PM",41337131,41337131,"Mubende",NA,NA,NA,2,2,26,NA,NA,NA,1,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"1 3 10",NA,4,5,"Matooke",5,5,5,0.61617108500575,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 3 9",NA,NA,2,1,1,1,NA,NA,0.118421320489469,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.877598216181745,NA,NA,2,NA,2,2,NA,NA,1,1,1,NA,1,2,0.542104520094579,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,1,NA,0.973032476199725,"Police","woman","Man","omukazi","omusajja",2,NA,NA,2,2,2,2,2,0.181653183966442,1,NA,"Muganda",NA,NA,NA,NA,NA,3,3,"1 3",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,1,2,NA,NA,NA,NA,NA,4,NA,1,NA,1,"Respondent participated fully","uuid:9af9c0bf-4619-4cc3-8109-3034b9c1b189",1705192037,"uuid:9af9c0bf-4619-4cc3-8109-3034b9c1b189",81
"10","May 21, 2017 12:32:04 PM","May 20, 2017 10:03:29 AM","May 20, 2017 11:02:56 AM",12,NA,NA,NA,NA,1,NA,1,1,"May 20, 2017 10:11:00 AM",41344181,41344181,"Mubende",NA,NA,NA,1,2,42,NA,NA,NA,1,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,"5 3",NA,2,5,"Matooke",5,2,5,0.348702740988585,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 3 7",NA,NA,2,2,2,1,NA,NA,0.834560404516359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,2,NA,NA,2,NA,2,0.102967501734542,1,NA,NA,NA,2,NA,2,NA,1,1,1,NA,1,2,0.477895260563685,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,2,NA,0.50608221613902,"Nabakyala","man","Woman","omusajja","omukazi",1,NA,NA,2,2,1,2,2,0.229833133651526,1,NA,"Muganda",NA,NA,NA,NA,NA,9,5,"4",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,NA,NA,NA,NA,4,NA,1,NA,4,NA,"uuid:3484a2dd-2e44-4532-88a4-d9e22f4c798b",1705192037,"uuid:3484a2dd-2e44-4532-88a4-d9e22f4c798b",82
"11","May 21, 2017 12:32:32 PM","May 20, 2017 10:16:41 AM","May 20, 2017 12:12:07 PM",38,NA,NA,NA,NA,1,NA,1,1,"May 20, 2017 10:22:00 AM",41344891,41344891,"Mubende",NA,NA,NA,1,2,27,NA,NA,NA,2,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,3,"5 1 2 3 4 7 10",NA,3,3," Potatoes",5,2,5,0.0345494299770087,1,NA,1,1,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 5 9",NA,NA,1,2,2,1,NA,NA,0.329916767224469,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0.300492475934869,2,NA,NA,NA,1,NA,2,NA,2,1,1,NA,2,2,0.263384674068681,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",2,NA,"They have to settle their issues together",NA,NA,1,NA,0.728608460045135,"Police","man","Woman","omusajja","omukazi",1,NA,NA,1,1,2,1,2,0.840106774064278,1,NA,"Muganda",NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,4,NA,1,NA,3,NA,"uuid:46a63685-a6f6-49e3-9473-34fbf38d20b0",1705192037,"uuid:46a63685-a6f6-49e3-9473-34fbf38d20b0",82
"12","May 21, 2017 12:32:36 PM","May 20, 2017 12:12:23 PM","May 20, 2017 1:14:05 PM",38,NA,NA,NA,NA,1,NA,1,1,"May 20, 2017 12:19:00 PM",41344431,41344431,"Mubende",NA,NA,NA,1,2,30,NA,NA,NA,2,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,3,"1 3 4 10",NA,2,5,"Potatoes",5,2,5,0.177445194095827,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 3 9",NA,NA,2,1,2,1,NA,NA,0.570747674418195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.414901646470657,NA,2,NA,NA,1,NA,NA,2,2,1,2,NA,1,2,0.34357244621368,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,1,NA,0.241681811609547,"LC1","man","Woman","omusajja","omukazi",1,NA,NA,1,1,2,1,1,0.55628921324336,24,NA,"Munyoro",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,4,NA,1,NA,4,NA,"uuid:9321e8aa-126a-4f18-a146-7d46a62f3b88",1705192037,"uuid:9321e8aa-126a-4f18-a146-7d46a62f3b88",82
"13","May 21, 2017 12:33:12 PM","May 20, 2017 1:44:37 PM","May 20, 2017 3:06:39 PM",5,NA,NA,NA,NA,1,NA,2,2,"May 20, 2017 1:45:00 PM",NA,NA,NA,"t40207041","t40207041",4,1,1,NA,43,1,NA,1,NA,"11",NA,7,2,NA,2,NA,"37",NA,NA,1,NA,4,"8",NA,4,5,"Cassava",5,6,5,0.935222023868292,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,"1 3 7",NA,NA,2,2,2,1,NA,NA,0.931581261614046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,2,NA,NA,2,NA,2,0.758144809379507,NA,NA,2,NA,2,2,NA,NA,1,1,1,NA,1,2,0.789534881546914,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,2,NA,0.581576928403424,"Nabakyala","man","Woman","omusajja","omukazi",2,NA,NA,2,2,2,1,1,0.288004494332642,1,NA,"Muganda",2,NA,1,NA,NA,1,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,"uuid:1844faf0-adb5-46f6-a0bc-1d9d5ed5804a",1705192037,"uuid:1844faf0-adb5-46f6-a0bc-1d9d5ed5804a",97
